Date,Symbol,Open,High,Low,Close
6/4/2019,BTCUSD,8113.5,8113.5,7443.75,7672.75
6/3/2019,BTCUSD,8739.5,8739.5,8006.25,8113.5
6/2/2019,BTCUSD,8556,8833.75,8548.75,8739.5
6/1/2019,BTCUSD,8554.5,8619,8455.75,8556
5/31/2019,BTCUSD,8270.25,8579,8113.25,8554.5
5/30/2019,BTCUSD,8658.5,9088,8001,8270.25
5/29/2019,BTCUSD,8721,8758.5,8446,8658.5
5/28/2019,BTCUSD,8776.25,8817,8540.25,8721
5/27/2019,BTCUSD,8741,8931.75,8645.5,8776.25
5/26/2019,BTCUSD,8075.25,8780.25,7894.25,8741
5/25/2019,BTCUSD,7999.25,8149,7942.75,8075.25
5/24/2019,BTCUSD,7880.75,8178,7807.5,7999.25
5/23/2019,BTCUSD,7634.5,7980,7475.5,7880.75
5/22/2019,BTCUSD,7950.5,8045.25,7513.75,7634.5
5/21/2019,BTCUSD,8020.25,8113.25,7806.25,7950.5
5/20/2019,BTCUSD,8191,8191,7587,8020.25
5/19/2019,BTCUSD,7268.25,8300.25,7255,8191
5/18/2019,BTCUSD,7374.75,7491.25,7209.5,7268.25
5/17/2019,BTCUSD,7883.25,7952.25,6616,7374.75
5/16/2019,BTCUSD,8199.75,8398.5,7664.5,7883.25
5/15/2019,BTCUSD,7995.25,8305,7842,8199.75
5/14/2019,BTCUSD,7822,8340.5,7627.75,7995.25
5/13/2019,BTCUSD,6981.25,8155,6864.25,7822
5/12/2019,BTCUSD,7221,7582.5,6772,6981.25
5/11/2019,BTCUSD,6348,7472,6348,7221
5/10/2019,BTCUSD,6145,6431.5,6107,6348
5/9/2019,BTCUSD,5942.5,6169.5,5932.5,6145
5/8/2019,BTCUSD,5746,5986.75,5654.5,5942.5
5/7/2019,BTCUSD,5684.25,5967,5684.25,5746
5/6/2019,BTCUSD,5716.5,5752.25,5566.5,5684.25
5/5/2019,BTCUSD,5771.25,5781.25,5635.25,5716.5
5/4/2019,BTCUSD,5657.25,5833.25,5516.5,5771.25
5/3/2019,BTCUSD,5387.75,5796.25,5367,5657.25
5/2/2019,BTCUSD,5323,5421.25,5308,5387.75
5/1/2019,BTCUSD,5266,5360,5266,5323
4/30/2019,BTCUSD,5147.75,5287.25,5129.25,5266
4/29/2019,BTCUSD,5155.75,5188.5,5073.5,5147.75
4/28/2019,BTCUSD,5168,5208.75,5103.75,5155.75
4/27/2019,BTCUSD,5156.75,5213,5116.75,5166
4/26/2019,BTCUSD,5129,5283.25,5049,5156.75
4/25/2019,BTCUSD,5444.75,5511.25,4982.75,5129
4/24/2019,BTCUSD,5540.25,5620.25,5376.25,5444.75
4/23/2019,BTCUSD,5384.25,5642,5359.5,5540.25
4/22/2019,BTCUSD,5298,5439.75,5254,5384.25
4/21/2019,BTCUSD,5322,5346.75,5215.25,5298
4/20/2019,BTCUSD,5290,5359.75,5262.75,5322
4/19/2019,BTCUSD,5282.75,5358.75,5199.25,5290
4/18/2019,BTCUSD,5229.25,5314.75,5225.25,5282.75
4/17/2019,BTCUSD,5205.5,5274.25,5176,5229.25
4/16/2019,BTCUSD,5034.75,5230,5018,5205.5
4/15/2019,BTCUSD,5159,5192.25,4949.25,5034.75
4/14/2019,BTCUSD,5070.25,5188.5,5016,5159
4/13/2019,BTCUSD,5078.25,5119.75,5042,5070.25
4/12/2019,BTCUSD,5049,5118.5,4909.75,5078.25
4/11/2019,BTCUSD,5319.28,5344.82,4970.27,5049
4/10/2019,BTCUSD,5192.8,5464.87,5165.16,5319.28
4/9/2019,BTCUSD,5294.67,5294.67,5147.56,5192.8
4/8/2019,BTCUSD,5191.51,5350.35,5131.92,5294.67
4/7/2019,BTCUSD,5036.84,5268.62,5031.88,5191.51
4/6/2019,BTCUSD,5039.98,5232.28,4900.34,5036.84
4/5/2019,BTCUSD,4901.03,5067.2,4884.96,5039.98
4/4/2019,BTCUSD,4973.92,5070.5,4783.44,4901.03
4/3/2019,BTCUSD,4900.76,5345.67,4801.79,4973.92
